ID,Gain,Loss
4606371,"Pub. L. 98-369, sec. 422",
4606371,"Pub. L. 99-514, sec. 1843",
52459,"8 U.S.C. §
1101",
2046752,"Public Law 91-646,",
4013931,,§
4013931,"28

U.S.C. § 2401",
685153,21 U.S.C. Secs. 846,
685153,21 U.S.C. Sec. 924,
685153,21 U.S.C. Sec. 844,
685153,21 U.S.C. Sec. 846,
685153,18 U.S.C. Sec. 924,
685153,21 U.S.C. Sec. 841,
685153,18 U.S.C. Sec. 3742,
685153,21 U.S.C. Secs. 841,
478265,42 U.S.C. Sec. 1983,
478265,28 U.S.C. Sec. 1915,
2141253,28 U.S.C. Section 1343,
74020,"29

U.S.C. § 621",
2999939,"18 U.S.C.
§ 3553",
2999939,"18 U.S.C.
§ 2113",
2999939,"18 U.S.C.
§ 924",
2999939,"18
U.S.C. § 3553",
2999939,"18
U.S.C. § 924",
549239,42 U.S.C. Sec. 1983,
1009089,"Pub. L. No. 106-274,
114",
1009089,,114 Stat. 803
700093,28 U.S.C. Sec. 2255,
212922,"28 U.S.C.

§ 2253",
212922,,§
1537257,9 U.S.C. Section 1,
689987,8 U.S.C. Sec. 1182,
2762529,"28 U.S.C.

§ 2253",
2762529,,§
3010899,28 U.S.C. S 1404,
3010899,28 U.S.C. S 1631,
3010899,"28
U.S.C. S 1404",
3010899,28 U.S.C. S 636,
3010899,"28 U.S.C.
S 636",
2994815,"28 U.S.C.
sec.2255",
2994815,21 U.S.C. sec.841,
2994815,18 U.S.C. sec.3582,
3005910,"18
U.S.C. § 2703",
3005910,18 U.S.C. Section 2703,
3014238,"2003
 U.S.C. §§ 901-945",
3014238,,§§
3022275,"21 U.S.C. §
841",
3022275,,§
1613,,§
1613,"18

U.S.C. § 3583",
1613,"18 U.S.C. §

3583",
1613,"18 U.S.C.

§ 3583",
751222,"Pub.L. No. 103-322,",
173654,"35
U.S.C. § 103",
173654,"35 U.S.C.
§ 112",
2675750,"28 U. S. C.
§1291",
2675750,,"§1291,"
2675750,"28
 U. S. C. §1291",
2823265,"45

U.S.C.A. §§ 51-60",
2823265,,§§
1964781,,112 Stat. 3227
1964781,"Pub.L. No. 105-353, 112",
3018014,,§§
3018014,"21 U.S.C. §§
841",
705424,28 U.S.C. Sec. 2255,
705424,28 U.S.C.A. Sec. 636,
2665962,"42

U.S.C. §§ 405",
2665962,"42 U.S.C.

§ 423",
449359,28 U.S.C. Sec. 1295,
449359,5 U.S.C. Sec. 7703,
449359,5 U.S.C. Sec. 3502,
310278,18 U.S.C. Sec. 4208,
429215,28 U.S.C. Sec. 2254,
2411681,,110 Stat. 1214
2411681,"Pub.L. No. 104-132, 110",
1025918,"28

U.S.C. § 2253",
1025918,,§
4398588,"42 U.S.C.

§ 1983",
4398588,,§
4483728,"Pub. L. 91-172,83",
4483728,,88 Stat. 991
4483728,,88 Stat. 829
4483728,,83 Stat. 487
4483728,"Pub. L. 93-406,88",
4483728,,83 Stat. 644
19443,"Pub. L. No. 104-132,2",
658803,5 U.S.C. Sec. 706,
658803,5 U.S.C. Sec. 551,
658803,5 U.S.C. Sec. 704,
219355,"29 U.S.C. §

1054",
868231,"8 U.S.C. §

1158",
868231,,§
490591,28 U.S.C. Sec. 2254,
416510,21 U.S.C. Secs. 841,
562613,28 U.S.C. Sec. 1404,
6719082,88 OS. 16,
