citation,name,publisher,cite_type,edition1,edition2,edition3,edition4,edition5,edition6,start_e1,start_e2,start_e3,start_e4,start_e5,start_e6,end_e1,end_e2,end_e3,end_e4,end_e5,end_e6,mlz_jurisdictions,variations,href,notes
A.,Atlantic Reporter,,state_regional,A.,A.2d,A.3d,,,,1885-01-01T00:00:00,1938-01-01T00:00:00,2010-01-01T00:00:00,,,,1938-12-31T00:00:00,2010-12-31T00:00:00,,,,,"us:ct;supreme.court, us:dc;court.appeals, us:de;supreme.court, us:md;court.appeals, us:me;supreme.judicial.court, us:nh;supreme.court, us:nj;supreme.court, us:pa;supreme.court, us:ri;supreme.court, us:vt;supreme.court","A .2d, A,2d, A. 2d, A. 3d, A.2d., A.R., A.Rep., A2d, At., At. Rep., Atl., Atl. Rep., Atl.2d, Atl.R.",,
A.D.,New York Supreme Court Appellate Division Reports,,state,A.D.,A.D.2d,A.D.3d,,,,1896-01-01T00:00:00,1955-01-01T00:00:00,2003-01-01T00:00:00,,,,1955-12-31T00:00:00,2004-12-31T00:00:00,,,,,us:ny;court.appeals,"A.D. 2d, A.D. 3d, AD 2d, AD 3d, Ap., Ap.2d., App Div., App. Div, App. Div., App. Div. 2d., App. Div. 3d., App. Div. Rep., App.Div., App.Div.(N.Y.), App.Div.2d., App.Div.3d., N.Y.App.Dec., N.Y.App.Div.",,
A.E.C.,Atomic Energy Commission Reports,,federal,A.E.C.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us;federal,,https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
A.F.T.R. (P-H),American Federal Tax Reports,,specialty,A.F.T.R. (P-H),,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:c;tax.court,,,
A.F.T.R. (RIA),American Federal Tax Reports,,specialty,A.F.T.R. (RIA),A.F.T.R.2d (RIA),,,,,1750-01-01T00:00:00,1958-01-01T00:00:00,,,,,1957-12-31T00:00:00,,,,,,us:c;tax.court,"A.F.T.R., A.F.T.R. 2d, A.F.T.R. 2d (RIA), A.F.T.R.2d, P-H T.C. Memo.",,See: https://www.irs.gov/pub/irs-tege/eotopich87.pdf
A.K. Marsh.,"Kentucky Reports, Marshall, A.K.",,state,A.K. Marsh.,,,,,,1817-01-01T00:00:00,,,,,,1821-12-31T00:00:00,,,,,,us:ky;supreme.court,"Ky.(A.K.Marsh.), Mar., Mar. Rep., Marsh., Marsh. Rep., Marsh.(Ky.), Marsh.A.K.",,
A.L.R.,American Law Reports,Thompson Reuters,specialty,A.L.R.,A.L.R. 2d,A.L.R. 3d,A.L.R. 4th,A.L.R. 5th,A.L.R. 6th,1750-01-01T00:00:00,1750-01-01T00:00:00,1750-01-01T00:00:00,1750-01-01T00:00:00,1750-01-01T00:00:00,1750-01-01T00:00:00,,,,,,,,"A.L.R.2d, A.L.R.3d, A.L.R.4th, A.L.R.5th, A.L.R.6th, ALR, ALR 2d, ALR 3d, ALR 4th, ALR 5th, ALR 6th",http://legalsolutions.thomsonreuters.com/law-products/westlaw-legal-research/litigator/alr,
A.L.R. Fed.,"American Law Reports Annotated, Federal",,federal,A.L.R. Fed.,A.L.R. Fed. 2d,,,,,1750-01-01T00:00:00,1750-01-01T00:00:00,,,,,,,,,,,,A.L.R. Fed.2d,,
A.M.C.,American Maritime Cases,,specialty,A.M.C.,,,,,,1923-01-01T00:00:00,,,,,,,,,,,,,AMC,,
AOA,Anderson's Unreported Ohio Appellate Cases: cases argued and determined in the Ohio courts of appeal,,state,AOA,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:oh;court.appeals,,,
